298	Ameriflight	\N	\N	AMF	AMFLIGHT	UnitedStates	N
299	AirLibert	\N	VD	\N	\N	France	Y
300	AirLithuania	\N	TT	KLA	KAUNAS	Lithuania	N
301	AirMinasLinhasA	\N	\N	AMG	AIRMINAS	Brazil	N
302	AlanMannHelicoptersLtd.	\N	\N	AMH	MANN	UnitedKingdom	N
303	AirMaldives	\N	\N	AMI	AIRMALDIVES	Maldives	N
304	AviationAmos	\N	\N	AMJ	AVIATIONAMOS	Canada	N
305	AmererAir	\N	\N	AMK	AMERAIR	Austria	N
306	AirMalawi	\N	QM	AML	MALAWI	Malawi	Y
307	AeroputulInternationalMarculesti	\N	\N	AMM	AEROM	Moldova	N
308	AirMontenegro	\N	\N	AMN	MONTENEGRO	Montenegro	N
309	AirMontreal(AirHoldingsInc.)	\N	\N	AMO	AIRMONTREAL	Canada	N
310	AeroTransporteS.A.(ATSA)	\N	\N	AMP	ATSA	Peru	N
311	AeromedicareLtd.	\N	\N	AMQ	LIFELINE	UnitedKingdom	N
312	AirSicilia	\N	BM	\N	\N	Italy	Y
313	AirSpecialtiesCorporation	\N	\N	AMR	AIRAM	UnitedStates	N
314	AirMuskoka	\N	\N	AMS	AIRMUSKOKA	Canada	N
315	ATAAirlines	\N	\N	AMT	AMTRAN	UnitedStates	Y
316	AirMacau	\N	NX	AMU	AIRMACAO	Macao	Y
317	AMCAirlines	\N	\N	AMV	\N	Egypt	Y
318	AirMidwest	\N	ZV	AMW	AIRMIDWEST	UnitedStates	N
319	AirSeychelles	\N	HM	SEY	SEYCHELLES	Seychelles	Y
320	AirSofia	\N	\N	SFB	AIRSOFIA	Bulgaria	N
321	AeroM?Èxico	\N	AM	AMX	AEROMEXICO	Mexico	Y
322	AirAmbar	\N	\N	AMY	AIRAMBAR	DominicanRepublic	N
323	AmiyaAirline	\N	\N	AMZ	AMIYAAIR	Nigeria	N
324	AllNipponAirways	ANAAllNipponAirways	NH	ANA	ALLNIPPON	Japan	Y
325	AirNavigationAndTradingCo.Ltd.	\N	\N	ANB	AIRNAV	UnitedKingdom	N
326	AngloCargo	\N	\N	ANC	ANGLO	UnitedKingdom	N
327	AirNostrum	\N	YW	ANE	AIRNOSTRUM	Spain	Y
328	AirNiugini	\N	PX	ANG	NUIGINI	PapuaNewGuinea	Y
329	AirArabia	\N	G9	ABY	ARABIA	UnitedArabEmirates	Y
330	AirCanada	\N	AC	ACA	AIRCANADA	Canada	Y
331	AirportBratsk	\N	\N	BRP	AEROBRA	Russia	N
332	AirWings	\N	\N	BSB	ARBAS	Moldova	N
333	AirBaltic	\N	BT	BTI	AIRBALTIC	Latvia	Y
334	AlajnihahforAirTransport	\N	\N	ANH	ALAJNIHAH	Libya	N
